SubjID x02 x03 x04 x05 x06 x07 x08 x09 x10 x11 x12 x13 x14 x15 x16 x17 x01 Patterns FreqPatterns initial_gik1 initial_gik2 final_gik1 final_gik2
102088 2 1 1 1 1 1 3 1 2 2 1 2 1 1 2 1 2 21111131221211212 1 0.5 0.5 0.6731 0.3269
102089 3 1 1 3 3 3 3 1 1 2 1 2 1 1 2 1 2 31133331121211212 1 0.5 0.5 0 1
102090 2 1 2 1 1 4 3 1 1 2 2 2 1 2 2 2 2 21211431122212222 1 0.5 0.5 0.7213 0.2787
102091 3 1 2 3 3 4 3 1 1 2 1 2 1 1 2 2 2 31233431121211222 1 0.5 0.5 0 1
102092 3 1 2 3 3 1 3 1 1 2 3 2 1 2 2 1 2 31233131123212212 1 0.5 0.5 0.356 0.644
102093 3 1 2 1 1 4 3 1 1 1 4 2 1 1 2 2 2 31211431114211222 1 0.5 0.5 0.5878 0.4122
102094 3 1 1 1 1 1 2 1 1 1 4 2 1 1 2 2 2 31111121114211222 1 0.5 0.5 0.7597 0.2403
102095 3 1 1 1 1 3 2 1 1 1 2 2 1 1 2 1 2 31111321112211212 1 0.5 0.5 0.7162 0.2838
102096 2 1 1 3 3 3 2 1 1 1 2 1 1 1 2 1 2 21133321112111212 1 0.5 0.5 0.4305 0.5695
102097 3 1 3 3 3 1 4 1 1 1 1 2 1 1 2 1 2 31333141111211212 1 0.5 0.5 0 1
102098 3 1 1 1 1 2 2 1 1 2 3 1 1 1 2 2 2 31111221123111222 1 0.5 0.5 1 0
102099 3 1 1 3 3 4 2 1 1 2 2 1 1 1 2 2 2 31133421122111222 1 0.5 0.5 0.4121 0.5879
102100 1 2 1 4 2 2 3 1 1 1 2 1 1 1 2 1 2 12142231112111212 1 0.5 0.5 0.3574 0.6426
102101 2 1 1 3 3 4 3 1 1 2 2 1 1 1 2 1 2 21133431122111212 1 0.5 0.5 0.0624 0.9376
102102 1 1 2 1 1 4 2 1 1 2 2 1 1 1 2 1 2 11211421122111212 1 0.5 0.5 1 0
102103 3 1 1 1 1 2 2 1 1 2 2 1 1 1 2 2 2 31111221122111222 2 0.5 0.5 1 0
102104 3 1 1 1 1 3 2 1 1 1 2 1 1 1 2 2 2 31111321112111222 1 0.5 0.5 1 0
102105 2 1 1 1 1 2 2 1 1 2 2 1 1 1 2 1 2 21111221122111212 1 0.5 0.5 1 0
102106 1 1 1 1 1 2 2 1 1 2 2 1 1 1 2 1 2 11111221122111212 1 0.5 0.5 1 0
102107 3 1 2 4 4 3 4 1 1 1 2 1 1 1 2 1 2 31244341112111212 1 0.5 0.5 0.0839 0.9161
102108 2 1 2 1 1 2 1 1 1 2 4 1 1 1 2 2 2 21211211124111222 1 0.5 0.5 1 0
